Stratégie,Modèle,Dataset,Alpha,K,Cohérence,MAUVE,Diversité,Gen Len
Epsilon Greedy,GPT2,Book,0.5,10,-2.9172251,97.9,90.22,101.6
Epsilon Greedy,GPT2,Book,0.5,4,-2.2938535,93.15,76.75,100.73
Epsilon Greedy,GPT2,Book,0.5,6,-2.5902777,99.09,84.23,100.52
Epsilon Greedy,GPT2,Book,0.5,8,-2.7710223,95.65,87.55,98.85
Epsilon Greedy,GPT2,Book,0.6,10,-2.6965635,91.13,86.16,99.32
Epsilon Greedy,GPT2,Book,0.6,4,-2.1429183,90.7,68.87,99.4
Epsilon Greedy,GPT2,Book,0.6,6,-2.4159226,94.75,79.6,100.85
Epsilon Greedy,GPT2,Book,0.6,8,-2.5830355,93.93,83.91,100.45
Epsilon Greedy,GPT2,Book,0.7,10,-2.3371797,92.32,72.46,100.98
Epsilon Greedy,GPT2,Book,0.7,4,-1.918753,81.76,56.21,97.09
Epsilon Greedy,GPT2,Book,0.7,6,-2.1037493,79.13,64.82,97.08
Epsilon Greedy,GPT2,Book,0.7,8,-2.288555,88.66,73.71,97.7
Epsilon Greedy,GPT2,Book,0.8,10,-1.9620552,82.43,55.9,97.69
Epsilon Greedy,GPT2,Book,0.8,4,-1.5697181,52.19,36.32,97.91
Epsilon Greedy,GPT2,Book,0.8,6,-1.776629,56.3,45.22,94.93
Epsilon Greedy,GPT2,Book,0.8,8,-1.8934919,72.94,51.31,99.98
Epsilon Greedy,GPT2,Wikinews,0.5,10,-3.0990963,97.65,93.42,90.9
Epsilon Greedy,GPT2,Wikinews,0.5,4,-2.4921165,97.25,86.35,85.06
Epsilon Greedy,GPT2,Wikinews,0.5,6,-2.7706618,98.41,91.54,89.14
Epsilon Greedy,GPT2,Wikinews,0.5,8,-2.9365647,98.27,92.48,85.66
Epsilon Greedy,GPT2,Wikinews,0.6,10,-2.7613597,98.94,90.59,87.33
Epsilon Greedy,GPT2,Wikinews,0.6,4,-2.3370178,97.26,81.56,92.11
Epsilon Greedy,GPT2,Wikinews,0.6,6,-2.5698855,92.53,88.21,87.3
Epsilon Greedy,GPT2,Wikinews,0.6,8,-2.730791,91.69,89.07,93.34
Epsilon Greedy,GPT2,Wikinews,0.7,10,-2.5546353,96.97,85.4,89.95
Epsilon Greedy,GPT2,Wikinews,0.7,4,-2.1165075,92.93,70.31,89.21
Epsilon Greedy,GPT2,Wikinews,0.7,6,-2.2816758,93.58,76.81,91.18
Epsilon Greedy,GPT2,Wikinews,0.7,8,-2.3696263,94.57,81.17,94.49
Epsilon Greedy,GPT2,Wikinews,0.8,10,-2.160053,89.72,70.44,93.62
Epsilon Greedy,GPT2,Wikinews,0.8,4,-1.7400192,76.77,52.27,97.15
Epsilon Greedy,GPT2,Wikinews,0.8,6,-1.9569376,71.96,61.4,93.49
Epsilon Greedy,GPT2,Wikinews,0.8,8,-2.0806465,85.25,70.19,90.01
Epsilon Greedy,GPT2,Wikitext,0.5,10,-3.1046963,94.48,90.59,92.74
Epsilon Greedy,GPT2,Wikitext,0.5,4,-2.4845278,97.23,75.83,96.19
Epsilon Greedy,GPT2,Wikitext,0.5,6,-2.8093057,94.08,85.2,93.68
Epsilon Greedy,GPT2,Wikitext,0.5,8,-3.0403454,96.91,89.78,89.08
Epsilon Greedy,GPT2,Wikitext,0.6,10,-2.89225,90.66,84.2,91.28
Epsilon Greedy,GPT2,Wikitext,0.6,4,-2.3077931,98.62,70.91,91.65
Epsilon Greedy,GPT2,Wikitext,0.6,6,-2.4702199,91.73,77.73,95.8
Epsilon Greedy,GPT2,Wikitext,0.6,8,-2.6958117,92.84,83.93,93.42
Epsilon Greedy,GPT2,Wikitext,0.7,10,-2.4927244,92.55,74.28,93.06
Epsilon Greedy,GPT2,Wikitext,0.7,4,-2.0431938,94.66,57.82,97.06
Epsilon Greedy,GPT2,Wikitext,0.7,6,-2.2897484,90.29,67.76,93.38
Epsilon Greedy,GPT2,Wikitext,0.7,8,-2.3931565,97.42,67.8,93.74
Epsilon Greedy,GPT2,Wikitext,0.8,10,-2.151847,95.52,59.56,91.8
Epsilon Greedy,GPT2,Wikitext,0.8,4,-1.7713246,46.81,41.43,94.06
Epsilon Greedy,GPT2,Wikitext,0.8,6,-1.9293622,91.89,48.5,95.88
Epsilon Greedy,GPT2,Wikitext,0.8,8,-2.0331156,96.17,55.18,94.52
