Stratégie,Modèle,Dataset,Alpha,K,Cohérence,MAUVE,Diversité,Gen Len
Epsilon Greedy,gpt-neo-125m,Book,0.5,10,-3.000446,90.78,90.27,99.45
Epsilon Greedy,gpt-neo-125m,Book,0.5,4,-2.3303552,95.28,77.37,95.43
Epsilon Greedy,gpt-neo-125m,Book,0.5,6,-2.6427557,93.57,86.55,98.09
Epsilon Greedy,gpt-neo-125m,Book,0.5,8,-2.8620484,96.39,90.48,97.46
Epsilon Greedy,gpt-neo-125m,Book,0.6,10,-2.6720877,86.06,82.16,98.65
Epsilon Greedy,gpt-neo-125m,Book,0.6,4,-2.1671047,89.25,66.76,98.69
Epsilon Greedy,gpt-neo-125m,Book,0.6,6,-2.4096808,89.29,77.49,96.02
Epsilon Greedy,gpt-neo-125m,Book,0.6,8,-2.5972965,97.04,81.63,97.37
Epsilon Greedy,gpt-neo-125m,Book,0.7,10,-2.4094114,91.21,75.23,94.89
Epsilon Greedy,gpt-neo-125m,Book,0.7,4,-1.965319,80.38,58.23,93.32
Epsilon Greedy,gpt-neo-125m,Book,0.7,6,-2.0790777,87.33,60.71,96.99
Epsilon Greedy,gpt-neo-125m,Book,0.7,8,-2.2825727,94.34,71.81,98.38
Epsilon Greedy,gpt-neo-125m,Book,0.8,10,-1.997861,71.99,56.81,97.2
Epsilon Greedy,gpt-neo-125m,Book,0.8,4,-1.620357,30.86,40.25,90.69
Epsilon Greedy,gpt-neo-125m,Book,0.8,6,-1.8503304,62.66,48.05,94.95
Epsilon Greedy,gpt-neo-125m,Book,0.8,8,-1.919073,73.31,51.89,95.34
Epsilon Greedy,gpt-neo-125m,Wikinews,0.5,10,-3.1939764,92.12,91.27,96.87
Epsilon Greedy,gpt-neo-125m,Wikinews,0.5,4,-2.5189538,87.35,78.08,94.98
Epsilon Greedy,gpt-neo-125m,Wikinews,0.5,6,-2.8413305,84.57,88.59,95.04
Epsilon Greedy,gpt-neo-125m,Wikinews,0.5,8,-3.0509171,97.96,90.86,92.79
Epsilon Greedy,gpt-neo-125m,Wikinews,0.6,10,-2.9259229,96.87,87.31,93.99
Epsilon Greedy,gpt-neo-125m,Wikinews,0.6,4,-2.343565,87.46,72.95,91.65
Epsilon Greedy,gpt-neo-125m,Wikinews,0.6,6,-2.5566077,96.58,81.2,92.01
Epsilon Greedy,gpt-neo-125m,Wikinews,0.6,8,-2.7621133,89.51,86.11,90.08
Epsilon Greedy,gpt-neo-125m,Wikinews,0.7,10,-2.5314257,87.51,75.9,92.0
Epsilon Greedy,gpt-neo-125m,Wikinews,0.7,4,-2.0898945,92.2,63.36,93.34
Epsilon Greedy,gpt-neo-125m,Wikinews,0.7,6,-2.2968867,83.78,71.01,92.69
Epsilon Greedy,gpt-neo-125m,Wikinews,0.7,8,-2.4730277,90.71,77.97,90.34
Epsilon Greedy,gpt-neo-125m,Wikinews,0.8,10,-2.151473,93.84,63.22,91.97
Epsilon Greedy,gpt-neo-125m,Wikinews,0.8,4,-1.7703509,86.71,45.57,93.03
Epsilon Greedy,gpt-neo-125m,Wikinews,0.8,6,-1.9291894,87.53,54.52,94.19
Epsilon Greedy,gpt-neo-125m,Wikinews,0.8,8,-2.0444732,79.01,57.05,96.81
Epsilon Greedy,gpt-neo-125m,Wikitext,0.5,10,-3.1503382,99.24,88.87,90.9
Epsilon Greedy,gpt-neo-125m,Wikitext,0.5,4,-2.465476,96.05,69.94,96.37
Epsilon Greedy,gpt-neo-125m,Wikitext,0.5,6,-2.7593448,89.72,81.04,92.54
Epsilon Greedy,gpt-neo-125m,Wikitext,0.5,8,-3.0050306,86.54,83.2,94.66
Epsilon Greedy,gpt-neo-125m,Wikitext,0.6,10,-2.8834708,96.04,82.2,93.5
Epsilon Greedy,gpt-neo-125m,Wikitext,0.6,4,-2.2442772,81.42,63.88,96.22
Epsilon Greedy,gpt-neo-125m,Wikitext,0.6,6,-2.6163192,99.18,72.9,95.54
Epsilon Greedy,gpt-neo-125m,Wikitext,0.6,8,-2.7100985,93.72,78.09,95.26
Epsilon Greedy,gpt-neo-125m,Wikitext,0.7,10,-2.564332,95.98,70.69,93.58
Epsilon Greedy,gpt-neo-125m,Wikitext,0.7,4,-2.0502791,85.11,52.01,94.92
Epsilon Greedy,gpt-neo-125m,Wikitext,0.7,6,-2.2327857,87.47,60.46,93.85
Epsilon Greedy,gpt-neo-125m,Wikitext,0.7,8,-2.412652,67.55,68.14,94.71
Epsilon Greedy,gpt-neo-125m,Wikitext,0.8,10,-2.1140566,96.5,48.69,96.37
Epsilon Greedy,gpt-neo-125m,Wikitext,0.8,4,-1.7059696,59.55,33.67,96.98
Epsilon Greedy,gpt-neo-125m,Wikitext,0.8,6,-1.916156,60.91,41.23,95.53
Epsilon Greedy,gpt-neo-125m,Wikitext,0.8,8,-2.0458367,69.31,50.75,93.8
