Stratégie,Modèle,Dataset,Alpha,K,Cohérence,MAUVE,Diversité,Gen Len
Epsilon Greedy,opt-125m,Book,0.5,10,-2.9142094,92.51,90.72,93.95
Epsilon Greedy,opt-125m,Book,0.5,4,-2.2581973,96.18,77.66,92.37
Epsilon Greedy,opt-125m,Book,0.5,6,-2.563939,99.53,84.65,96.12
Epsilon Greedy,opt-125m,Book,0.5,8,-2.7617521,93.4,90.41,94.13
Epsilon Greedy,opt-125m,Book,0.6,10,-2.636322,99.24,83.32,93.13
Epsilon Greedy,opt-125m,Book,0.6,4,-2.0690165,88.78,71.09,91.03
Epsilon Greedy,opt-125m,Book,0.6,6,-2.342496,90.62,77.39,92.86
Epsilon Greedy,opt-125m,Book,0.6,8,-2.4862852,94.44,83.35,95.86
Epsilon Greedy,opt-125m,Book,0.7,10,-2.3112822,95.91,74.03,96.7
Epsilon Greedy,opt-125m,Book,0.7,4,-1.8604797,75.2,56.46,90.09
Epsilon Greedy,opt-125m,Book,0.7,6,-2.0783317,88.39,64.4,93.46
Epsilon Greedy,opt-125m,Book,0.7,8,-2.2324326,91.03,71.33,95.22
Epsilon Greedy,opt-125m,Book,0.8,10,-1.9375598,71.47,52.98,94.18
Epsilon Greedy,opt-125m,Book,0.8,4,-1.5520988,46.91,36.43,91.34
Epsilon Greedy,opt-125m,Book,0.8,6,-1.7396427,79.77,44.96,92.66
Epsilon Greedy,opt-125m,Book,0.8,8,-1.9201517,58.69,53.4,92.54
Epsilon Greedy,opt-125m,Wikinews,0.5,10,-3.0594373,83.31,93.64,92.24
Epsilon Greedy,opt-125m,Wikinews,0.5,4,-2.365744,88.69,85.7,90.5
Epsilon Greedy,opt-125m,Wikinews,0.5,6,-2.6683521,99.15,90.72,90.26
Epsilon Greedy,opt-125m,Wikinews,0.5,8,-2.8617208,88.93,93.37,94.99
Epsilon Greedy,opt-125m,Wikinews,0.6,10,-2.725278,94.67,90.69,92.45
Epsilon Greedy,opt-125m,Wikinews,0.6,4,-2.1150012,81.39,78.82,86.79
Epsilon Greedy,opt-125m,Wikinews,0.6,6,-2.3945117,97.56,85.13,91.53
Epsilon Greedy,opt-125m,Wikinews,0.6,8,-2.6132257,93.55,88.47,90.43
Epsilon Greedy,opt-125m,Wikinews,0.7,10,-2.4203835,91.04,83.71,96.26
Epsilon Greedy,opt-125m,Wikinews,0.7,4,-1.9398198,91.29,70.58,92.82
Epsilon Greedy,opt-125m,Wikinews,0.7,6,-2.1405778,88.11,75.06,96.62
Epsilon Greedy,opt-125m,Wikinews,0.7,8,-2.3141878,98.52,79.62,90.21
Epsilon Greedy,opt-125m,Wikinews,0.8,10,-1.9970644,89.25,65.04,96.19
Epsilon Greedy,opt-125m,Wikinews,0.8,4,-1.6614788,79.16,50.91,90.7
Epsilon Greedy,opt-125m,Wikinews,0.8,6,-1.853861,90.75,64.63,91.34
Epsilon Greedy,opt-125m,Wikinews,0.8,8,-1.9317613,93.14,64.44,92.03
Epsilon Greedy,opt-125m,Wikitext,0.5,10,-3.0923746,90.47,87.5,84.9
Epsilon Greedy,opt-125m,Wikitext,0.5,4,-2.4366245,98.7,77.47,75.13
Epsilon Greedy,opt-125m,Wikitext,0.5,6,-2.8069196,96.96,87.89,73.6
Epsilon Greedy,opt-125m,Wikitext,0.5,8,-3.020594,93.63,88.47,74.4
Epsilon Greedy,opt-125m,Wikitext,0.6,10,-2.8640788,80.3,84.88,73.67
Epsilon Greedy,opt-125m,Wikitext,0.6,4,-2.242408,97.0,69.81,75.49
Epsilon Greedy,opt-125m,Wikitext,0.6,6,-2.5386808,92.04,77.26,72.61
Epsilon Greedy,opt-125m,Wikitext,0.6,8,-2.6883988,93.59,83.4,78.25
Epsilon Greedy,opt-125m,Wikitext,0.7,10,-2.4888368,99.84,75.34,71.84
Epsilon Greedy,opt-125m,Wikitext,0.7,4,-1.9460821,80.9,54.81,73.19
Epsilon Greedy,opt-125m,Wikitext,0.7,6,-2.2202756,89.84,66.63,77.23
Epsilon Greedy,opt-125m,Wikitext,0.7,8,-2.4125862,76.87,71.22,76.51
Epsilon Greedy,opt-125m,Wikitext,0.8,10,-2.0284834,94.13,57.77,75.29
Epsilon Greedy,opt-125m,Wikitext,0.8,4,-1.5833154,64.72,43.65,75.27
Epsilon Greedy,opt-125m,Wikitext,0.8,6,-1.8844447,65.25,52.83,79.93
Epsilon Greedy,opt-125m,Wikitext,0.8,8,-1.9439304,81.93,53.17,80.21
